,model.name,model.title,citation.openAccessPdf,manual,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes,MCLLM,MC
223,Max-Margin Markov Networks,Max-Margin Markov Networks,https://dl.acm.org/doi/pdf/10.3115/1220575.1220588,Motivation,Background,"Additionally, we use several pre-existing classifiers as features. This are simple maximum entropy Markov models trained off of the MUC6data, the MUC7 data and our ACE data.",yes,new joint EDTmodel (no name),yes,Entity detection and tracking (EDT),"In contrast, by modeling both aspects of the EDT task simultaneously, we are able to learn using highly complex, non-local features. We develop a new joint EDTmodel and explore the utility of many features, demonstrating their effectiveness on this task.",uses,uses
224,,,,Extends,,"The boundary decision features include: the second and third order Markov features over entity type, entity subtype and mention type; features appearing at the previous (and next) words within a window of three; the words that appear and the previous and next mention boundaries, specified also by entity type, entity subtype and mention type.",yes,new joint EDTmodel (no name),yes,Entity detection and tracking (EDT),"In contrast, by modeling both aspects of the EDT task simultaneously, we are able to learn using highly complex, non-local features. We develop a new joint EDTmodel and explore the utility of many features, demonstrating their effectiveness on this task.",uses,uses
225,,,,Differences,,"This non-locality makes models like Markov networks intractable, and LaSO provides an excellent framework for tackling this problem.",yes,new joint EDTmodel (no name),yes,Entity detection and tracking (EDT),"In contrast, by modeling both aspects of the EDT task simultaneously, we are able to learn using highly complex, non-local features. We develop a new joint EDTmodel and explore the utility of many features, demonstrating their effectiveness on this task.",background,background
226,GPT-2 (1.5B),Language Models are Unsupervised Multitask Learners,https://www.emerald.com/insight/content/doi/10.1108/JEBDE-08-2023-0015/full/pdf?title=unraveling-the-landscape-of-large-language-models-a-systematic-review-and-future-perspectives,Motivation,,"These models, such as GPT-1, GPT-2, GPT-3, InstructGPT and GPT-4 (Brownetal.,2020;OpenAI,2023;Ouyangetal., 2022; Radford, Narasimhan,Salimans,&Sutskever,2018;Radfordetal.,2019), are based on the architecture of the transformer (Vaswani et al., 2017), which is one of the famous architectures for developing LLMs and is well-known for its attention mechanisms, resulting in a simpler architecture than the recurrent neural networks (RNNs) (Schuster & Paliwal, 1997).",no,,yes,Transformer Architecture,"This paper aims to present a comprehensive examination of the research landscape in LLMs, providing an overview of the prevailing themes and topics within this dynamic domain.",background,background
227,,,,Differences,,"The GPT-2 model (Radfordetal.,2019) was proposed to further reduce the need for labeled datasets. It is a 1.5 billion transformer and uses a zero-shot setting, demonstrating that LLMs can learn various natural language tasks without explicit supervision. Compared with GPT-1 and GPT-2 models, GPT-3 model (Brown et al., 2020)has 175 billion parameters, which is much larger and improves the performance of LLMs further.",no,,yes,Transformer Architecture,"This paper aims to present a comprehensive examination of the research landscape in LLMs, providing an overview of the prevailing themes and topics within this dynamic domain.",background,background
228,OverFeat,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks",http://arxiv.org/pdf/2207.11523,Differences,Similarities,OverFeat [44] - Chart,yes,new road detection method (no name),yes,VGG-16,We propose a method to detect and segment roads with a random forest classifier of local experts with superpixel based machine-learned features.,background,background
229,Adaptive Subgrad,Adaptive Subgradient Methods for Online Learning and Stochastic Optimization,https://www.mdpi.com/2076-3417/13/5/2782/pdf?version=1677048989,Extends,,ADAM combines the AdaGrad’s ability to deal with sparse gradients [28] and RMSProp’s ability to deal with non-stationary objectives [29].,yes,"CNN and LSTM (both, no name)",yes,Adaptive Moment Estimation (ADAM),"We have developed both a CNN and an LSTM architecture for frequency-domain feature detection and approximation. The CNN models, one for phase and one for amplitude data, take short-distance Fourier transforms (SDFTs) representing the change in the signal over multiple observation points as input. The LSTM model takes the change in phase or amplitude points at each lateral location as a comma-separated value (CSV) input.",background,background
230,Restricted Bolzmann machines,Restricted Boltzmann machines for collaborative filtering,https://jwcn-eurasipjournals.springeropen.com/track/pdf/10.1186/s13638-019-1525-y,Differences,Background,"In the field of recommended systems, the restricted Boltzmann machine was first proposed to simulate a user’s explicit rating of items [18], and autoencoders and denoising autoencoders were also used for recommendations [19–21].",yes,neighborhood-aware deep learning method,yes,multi-layer perceptron (MLP) and convolution neural networks (CNN),"In the field of recommended systems, the restricted Boltzmann machine was first proposed to simulate a user’s explicit rating of items [18], and autoencoders and denoising autoencoders were also used for recommendations [19–21]. However, research using deep learning in the field of services recommendation is seldom. Therefore, we propose the neighborhood-aware deep learning method to predict the service quality of web services.",background,background
231,Statement Curriculum Learning,Formal Mathematics Statement Curriculum Learning,https://arxiv.org/pdf/2308.15605,Similarities,,"To train AIs to complete hard tasks, it is common to use reinforcement learning using outcomes as rewards, such as wins in games [19, 26] and successful proofs in proof generation systems [23, 30].",no,,yes,LLMs,"In this work, we build four new text-based datasets to evaluate measurement tampering detection techniques on large language models.",background,background
232,FAIRSEQ Adaptive Inputs,"fairseq: A Fast, Extensible Toolkit for Sequence Modeling",https://arxiv.org/pdf/2204.08858,Uses,,Two different ASR frameworks are used: ESPnet [22] and an internal toolkit based on fair seqand PyTorch [23].,no,,yes,GTC-T,"In this work, we are investigating GTC-T with a CTC-like and a MonoRNN-T graph using a large-scale data set of 145K hours.",uses,uses
233,,,,Uses,,"For the results presented here, an Emformer-based streaming ASR model architecture is used that is implemented using an internal fairseq-based ASR framework [23,24].",no,,yes,MonoRNN-T,"In this work, we are investigating GTC-T with a CTC-like and a MonoRNN-T graph using a large-scale data set of 145K hours.",uses,uses
234,Walking Minotaur robot,Learning to Walk via Deep Reinforcement Learning,http://arxiv.org/pdf/2111.12557,Motivation,,"However, these approaches are far from providing any practical solutions to the problem at hand and they are shown to be only effective on simpler practical robots [26]–[33] and demonstrations in more complex problems such as those offered by legged robots are missing.",no,,yes,Explicit Reference Governors (ERG),"In this work, we will report our preliminary results in the modeling, control design, and development of a legged robot called NU’s Husky Carbon (shown in Fig. 1). Our objective is to integrate legged and aerial mobility into a single platform.",motivation,motivation
235,MnasNet-A3,MnasNet: Platform-Aware Neural Architecture Search for Mobile,https://www.frontiersin.org/articles/10.3389/fphy.2023.1159266/pdf,Extends,,"Traditional NAS work uses the reinforcement learning algorithm (RL) [7], evolutionary algorithm (EA) [8], and the gradient-based method to conduct architecture search.",yes,CK-βNAS-CLR,no,,This paper proposes a circular kernel convolution-β-decay regulation NAS-confident learning rate (CK-βNAS-CLR) framework to automatically design the neural network structure for HSI classification.,background,background
236,DeepStack,DeepStack: Expert-Level Artificial Intelligence in No-Limit Poker,https://figshare.com/articles/journal_contribution/Mathematical_consistency_and_long-term_behaviour_of_a_dynamical_system_with_a_self-organising_vector_field/11861349/1/files/21742305.pdf,Background,,"Artificial intelligence (AI) is nowadays widely spread [36], has demonstrated very impressive and sometimes superhuman levels of performance in a range of applications, such as face recognition [33], medical diagnostics from image analysis [15, 8], games of Go [31] and poker [25], and is often recognised as the most important technology of the future [24].",yes,n/a (brain model),no,na,"Here we analyse a mathematical construct, which was recently proposed in [19] with the goal to develop AI both explainable and inspired by the brain.",background,background
237,Neuro-Symbolic Concept Learner,"The Neuro-Symbolic Concept Learner: Interpreting Scenes, Words, and Sentences From Natural Supervision",http://arxiv.org/pdf/2205.14268,Motivation,,"These approaches use neural models to build executable logical programs. Examples include Liang et al. (2017) and Mao et al. (2019). We highlight Logic Tensor Networks (LTNs) [Badreddine et al., 2022], as we include this approach in our empirical evaluation. LTNs connect neural predictions into functions representing symbolic relations with real-valued or fuzzy logic semantics. Neural networks as predicates: This line of work int",yes,Neural Probabilistic Soft Logic (NeuPSL),yes,probabilistic soft logic (PSL),"This paper introduces Neural Probabilistic Soft Logic (NeuPSL), a novel NeSy method that integrates deep neural networks with a symbolic method designed for fast joint learning and inference",background,background
238,AlexNet,ImageNet classification with deep convolutional neural networks,https://www.preprints.org/manuscript/202310.1446/v1/download,Background,,"In 2012, AlexNet, proposed by Alex Krizhevsky et al. [5] made a splash in the ImageNet image recognition competition, crushing the classification performance of the second place support vector machines (SVM)",yes,attention mechanism for multiscale receptive fields convolution block (AMMRF),yes,common objects in context (COCO),The new detection method is more lightweight and works well for multi-scale ship target detection in SAR images.Our contributions can be summarized as follows.,background,background
239,,,,Motivation,,Applying deep learning to image processing can significantly improve detection accuracy and speed for tasks such as target detection and instance segmentation [5].,yes,You Only Look Once SAR Ship Identification (YOLO-SARSI),yes,PASCAL visual object classes (PASCAL VOC),The new detection method is more lightweight and works well for multi-scale ship target detection in SAR images.Our contributions can be summarized as follows.,background,background
240,SimCLR,A Simple Framework for Contrastive Learning of Visual Representations,https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btae020/56167979/btae020.pdf,Motivation,,The contrastive loss used in contrastive learning strengthens the similarity between positive sample pairs (i.e. a sample and its augmented sample) while increasing the distance between negative sample pairs (i.e. a sample and other samples) (Chen et al. 2020b).,yes,"autoencoder-based method, scMAE",no,,"The masked autoencoder introduces a masking predictor, which captures relationships among genes by predicting whether gene expression values are masked.",background,background
241,DnCNN,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,https://www.mdpi.com/1424-8220/23/3/1486/pdf?version=1674977686,Similarities,,"However, these methods all face two problems [7]: (1) the optimization problem in the test stage is very complex, making the denoising process time-consuming; (2) parameters need to be manually adjusted to obtain a better image-denoising effect.",yes,image recognition model,yes,AlexNet,"We propose a new image-denoising model that aims to extract the local features of the image through CNN and focus on the global information of the image through the attention similarity module (ASM), especially the global similarity details of the image",motivation,motivation
242,,,,Background,,"For example, residual learning and bath normalization were applied to a deep convolutional neural network for image denoising (DnCNN) [7] to enhance the learning ability of the model.",yes,image recognition model,yes,VGG,"We propose a new image-denoising model that aims to extract the local features of the image through CNN and focus on the global information of the image through the attention similarity module (ASM), especially the global similarity details of the image",background,background
243,,,,Background,,"Zhang et al. [7] first designed deep CNNs for image denoising (DnCNN), and they improved the performance of the model by stacking multiple convolutional layers, residual learning [10], and batch normalization [21].",yes,image recognition model,yes,ResNet,"We propose a new image-denoising model that aims to extract the local features of the image through CNN and focus on the global information of the image through the attention similarity module (ASM), especially the global similarity details of the image",background,background
244,,,,Uses,,The color image datasets included the Waterloo Exploration Database and BSD432 [7].,yes,image recognition model,yes,DnCNN (our searched model),"We propose a new image-denoising model that aims to extract the local features of the image through CNN and focus on the global information of the image through the attention similarity module (ASM), especially the global similarity details of the image",uses,uses
245,,,,Uses,,The gray image datasets consisted of Set12 and BSD68 [7].,yes,image recognition model,yes,BRDNet,"We propose a new image-denoising model that aims to extract the local features of the image through CNN and focus on the global information of the image through the attention similarity module (ASM), especially the global similarity details of the image",uses,uses
246,,,,Differences,,"For gray image denoising, we chose several state-of-art denoising methods with the same test datasets, including BM3D [5], DnCNN [7], FFDNet [11], BRDNet [14], ADNet [15], and RDN [13].",yes,image recognition model,yes,RDASM,"We propose a new image-denoising model that aims to extract the local features of the image through CNN and focus on the global information of the image through the attention similarity module (ASM), especially the global similarity details of the image",uses,uses
247,Tensorized Transformer (257M),A Tensorized Transformer for Language Modeling,https://aclanthology.org/2021.findings-emnlp.67.pdf,Background,,Ma et al. (2019) combine low rank approximate and parameter sharing to construct a tensorized Transformer.,no,improved transformer model,no,,"In this paper, we present an approach to learning a hard retrieval attention where an attention head only attends to one token in the sentence rather than all tokens.",background,background
248,Perceiver IO,Perceiver IO: A General Architecture for Structured Inputs & Outputs,http://arxiv.org/pdf/2204.05994,Extends,,"Our proposed architecture is based on the Perceiver/PerceiverIO [8, 9] architectures.",yes,Malceiver,yes,Perceiver/PerceiverIO,"We propose the Malceiver, a hierarchical Perceiver model for Android malware detection that makes use of multi-modal features.",uses,uses
249,,,,Background,,"A recent pair of promising approaches, the Perceiver [9] and PerceiverIO [8], change the attention mechanism to use cross-attention rather than self-attention.",yes,Malceiver,yes,Perceiver/PerceiverIO,"We propose the Malceiver, a hierarchical Perceiver model for Android malware detection that makes use of multi-modal features.",background,background
250,,,,Motivation,,The PerceiverIO has been shown to be effective even with input sequences with over 2 million raw elements [8].,yes,Malceiver,yes,Perceiver/PerceiverIO,"We propose the Malceiver, a hierarchical Perceiver model for Android malware detection that makes use of multi-modal features.",background,background
251,,,,Extends,,"We therefore build on the Perceiver/PerceiverIO network architecture [9, 8].",yes,Malceiver,yes,Perceiver/PerceiverIO,"We propose the Malceiver, a hierarchical Perceiver model for Android malware detection that makes use of multi-modal features.",uses,uses
252,GPT-NeoX-20B,GPT-NeoX-20B: An Open-Source Autoregressive Language Model,https://www.biorxiv.org/content/biorxiv/early/2023/07/08/2023.07.06.547963.full.pdf,Future Work,,"With the increasing availability of large-scale annotated MS/MS data, the use of large language models such as LLaMA (Touvron et al., 2023), GPT-NeoX (Black et al., 2022) or Chinchilla (Hoffmann et al., 2022) seems to be a highly promising methodological avenue to train a new generation of structure prediction models in the future.",yes,deep neural netwrok for molecular structure construction,yes,GNPS,Here we report a deep neural network method to predict chemical structures solely from high-resolution MS/MS spectra. This novel approach initially relies on the encoding of SMILES strings from chemical structures using a continuous chemical descriptor space that had been previously implemented for molecule design,background,background
253,AWD-LSTM,On the State of the Art of Evaluation in Neural Language Models,https://europepmc.org/articles/pmc6612801?pdf=render,Background,,"A fair and unbiased comparison can be very challenging especially when considering the sensitivity of deep learning methods to the step of model selection: deep neural networks have many hyper-parameters that require careful tuning, and differences in performance can be the result of the use of different model selection strategies (Lipton and Steinhardt, 2018; Melis et al., 2018).",no,,yes,CNNs + RNNs,"In this study we present a systematic exploration of deep learning architectures for predicting DNA- and RNA-binding specificity. For this purpose, we present deepRAM, an end-to-end deep learning tool that provides an implementation of a wide selection of architectures; its fully automatic model selection procedure allows us to perform a fair and unbiased comparison of deep learning architectures",motivation,motivation
254,Multi-scale Dilated CNN,Multi-Scale Context Aggregation by Dilated Convolutions,https://arxiv.org/pdf/2307.06005,Uses,,"In addition, to capture long-range dependency between words, we also incorporate the dilated convolutional layer [51] that introduces “holes” into each convolution filter.",yes,Discretized Differentiable Neural Architecture Search (DDNAS),yes,Neural Architecture Search (NAS),"This paper presents a novel NAS method, Discretized Differentiable Neural Architecture Search (DDNAS), for text representation learning and classification.",extends,uses
256,SVM for face detection,Training support vector machines: an application to face detection,https://www.mdpi.com/2073-8994/13/4/615/pdf?version=1618226433,Background,,Data classification problems arise and are solved in many areas of human activity [1–7].,yes,two-stage hybrid SVM-kNN classifiers,yes,SVM classifier,The paper considers a solution to the problem of developing two-stage hybrid SVM-kNN classifiers with the aim to increase the data classification quality by refining the classification decisions near the class boundary defined by the SVM classifier.,background,background
257,,,,Background,,"Such problems include the problems of credit risk analysis [1], medical diagnostics [2], text categorization [4], the identification of facial images [7], etc.",yes,two-stage hybrid SVM-kNN classifiers,yes,SVM classifier,The paper considers a solution to the problem of developing two-stage hybrid SVM-kNN classifiers with the aim to increase the data classification quality by refining the classification decisions near the class boundary defined by the SVM classifier.,background,background
258,,,,Motivation,,"Many classification problems are successfully solved using the SVM algorithm [1–7,17–20,24–29].",yes,two-stage hybrid SVM-kNN classifiers,yes,SVM classifier,The paper considers a solution to the problem of developing two-stage hybrid SVM-kNN classifiers with the aim to increase the data classification quality by refining the classification decisions near the class boundary defined by the SVM classifier.,background,background
259,MCDNN (MNIST),Multi-column deep neural networks for image classification,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/bme2.12004,Uses,,These preprocessing steps are applied consistently to all images to artificially increase the dataset size using label‐preserving transformations [46].,yes,"robust deep learning approach for glasses detection, DL architecture",yes,CNN,"In this paper, we present a robust deep learning approach for glasses detection from selfie photos full/ partial frontal body non‐standard images captured in real‐life uncontrolled environments that do not utilize any facial landmarks.",background,background
260,ReLU (LFW),Rectified Linear Units Improve Restricted Boltzmann Machines,https://www.biorxiv.org/content/biorxiv/early/2023/12/02/2023.12.01.569515.1.full.pdf,Uses,,"To learn non-linear patterns, each layer in MetageNN is followed by a ReLU activation function [40].",yes,MetageNN,yes,Rectified Linear Units Improve Restricted Boltzmann Machines,"We present MetageNN, a memory-efficient long-read taxonomic classifier that is robust to sequencing errors and missing genomes. MetageNN is a neural network model that uses short k-mer profiles of sequences to reduce the impact of distribution shifts on error-prone long reads.",background,background
261,Transformer local-attention (NesT-B),"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",http://arxiv.org/pdf/2210.05958,Motivation,,"The insufficient training data makes ViT hard to derive the inductive bias of attending locality, thus many recent works strive to introduce local inductive bias by integrating convolution into ViTs [18, 15, 30, 31, 32] and modify it to hierarchical structure [33, 34, 16, 17, 35], making ViTs more like traditional CNNs.",no,,yes,Vision Transformers (ViTs) and Convolutional Neural Networks (CNNs),"In this paper, we further consider this problem and point out two weaknesses of ViTs in inductive biases, that is, the spatial relevance and diverse channel representation.",background,background
262,,,,Motivation,,"To make ViTs more similar to standard CNNs, [16, 54, 17, 34, 33, 35, 57, 32] re-design the spatial and channel dimension of vanilla ViT, producing a series of hierarchical style vision transformer.",no,,yes,Vision Transformers (ViTs) and Convolutional Neural Networks (CNNs),"In this paper, we further consider this problem and point out two weaknesses of ViTs in inductive biases, that is, the spatial relevance and diverse channel representation.",background,background
263,,,,Uses,,"The structure of vision transformer also guarantees this mechanism because the length of input tokens is variable, except for the hierarchical structure vision transformer with window attention such as[17, 35].",no,,yes,Vision Transformers (ViTs) and Convolutional Neural Networks (CNNs),"In this paper, we further consider this problem and point out two weaknesses of ViTs in inductive biases, that is, the spatial relevance and diverse channel representation.",background,background
264,VD-LSTM+REAL Large,Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,http://arxiv.org/pdf/2203.12644,Uses,,"The word embedding and softmax matrices are tied (Press and Wolf, 2017; Inan et al., 2017)",yes,MemSizer,no,,"We propose MemSizer, an approach towards closing the performance gap while improving the efficiency even with short generation. It projects the source sequences into lower dimension representations like Linformer, while enjoying efficient recurrent-style incremental computation similar to kernel-based transformers.",uses,uses
265,,,,Motivation,,"CNN allowed to achieve impressive results in image recognition, with near human performance on MNIST dataset and outperformed humans on traffic sign recognition by a factor of two [19].",yes,HydraNet CNNs,yes,U-Net architecture,"Based on U-Net architecture we develop HydraNet CNNs which allow segmenting worms accurately into anterior, mid-body and posterior parts",background,background
266,MCDNN (MNIST),Multi-column deep neural networks for image classification,https://www.aging-us.com/article/203916/pdf,Motivation,,"CNN allowed to achieve impressive results in image recognition, with near human performance on MNIST dataset and outperformed humans on traffic sign recognition by a factor of two [19].",yes,WormNet,yes,CNN,"We designed WormNet - a convolutional neural network (CNN) to predict the worm lifespan class based on young adult images (day 1 – day 3 old adults) and showed that WormNet, as well as, InceptionV3 CNN can successfully classify lifespan.",background,background
267,CodeT5+,CodeT5+: Open Code Large Language Models for Code Understanding and Generation,https://arxiv.org/pdf/2308.02582,Differences,,"We have not used other open-source models pretrained on code, such as CodeT5+ (Wang et al., 2023) (768 token length) or Codegen (2048 token length) (Nijkamp et al., 2022) for our study as they do not offer the token length required for our prompt (4K).",yes,LTMP-DA-GP,yes,LLMs,"In contrast, we devise an algorithm which performs offline sampling of a minimal set-of few-shots from the training data, with complete coverage of SQL clauses, operators and functions, and maximal domain coverage within the allowed token length. This allows for synthesis of a fixed Generic Prompt (GP), with a diverse set-of exemplars common across NL test queries, avoiding expensive test time exemplar retrieval. We further auto-adapt the GP to the target database domain (DA-GP), to better handle cross-domain generalization; followed by a decomposed Least-To-Most-Prompting (LTMP-DA-GP)",differences,differences
268,DNABERT,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,https://bmcgenomics.biomedcentral.com/counter/pdf/10.1186/s12864-021-08246-1,Motivation,Differences,"The DNAbert model [22] is more related to the present work. It is a transformer neural network, which in the pre-training is trained to predict k-mers (k=3-6) from the surrounding sequence context.",yes,bidirectional Markov model,yes,nucleotide models,We develop a bidirectional Markov model that use an average of the probability from a Markov model applied to both strands of the sequence and thus depends on up to 14 bases to each side of the nucleotide.,background,background
269,Reading Twice for NLU,Dynamic Integration of Background Knowledge in Neural NLU Systems,https://ojs.aaai.org/index.php/AAAI/article/download/17490/17297,Motivation,,"These approaches usually leverage knowledge to enhance a specific CQA component: 1) enhancing representations (Weissenborn, Kocisk ˇ y, and Dyer 2017; Bauer, Wang, and Bansal 2018; ` Mihaylov and Frank 2018; Ma et al. 2019); 2) enhancing attention mechanism (Chen et al. 2018; Wang and Jiang 2019); and 3) enhancing reasoning mechanism (Lin et al. 2019; Lv et al. 2020).",no,,yes,Commonsense Question Answering (CQA) approaches,"? To answer these questions, we benchmark knowledge-enhanced CQA by conducting extensive experiments on multiple standard CQA datasets using a simple and effective knowledgeto-text transformation framework.",background,background
270,Hybrid H3-2.7B,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,https://arxiv.org/pdf/2309.13600,Motivation,,"These approaches provide superior performance in several areas, such as NLP (Mehta et al. 2022; Wang et al. 2022; Dao et al. 2022), speech (Saon, Gupta, and Cui 2023), RL (Lu et al. 2023; David et al. 2022), time series analysis, and more, especially in tasks that require capturing long-range dependencies.",no,,yes,Hyena N-D,"Our empirical findings indicate that the proposed Hyena N-D layer boosts the performance of various Vision Transformer architectures, such as ViT, Swin, and DeiT across multiple datasets",background,background
271,,,,Motivation,,"Recently, several novel sequence layers showed impressive results in 1-D sequence modeling, specifically in improving complexity (Peng et al. 2023; Poli et al. 2023; Dao et al. 2022).",no,,yes,Hyena N-D,"Our empirical findings indicate that the proposed Hyena N-D layer boosts the performance of various Vision Transformer architectures, such as ViT, Swin, and DeiT across multiple datasets",background,background
272,Transformer + Simple Recurrent Unit,Simple Recurrent Units for Highly Parallelizable Recurrence,http://arxiv.org/pdf/2305.13048,Uses,,"The element-wise WKV computation is time-dependent but can be readily parallelized along the other two dimensions (Lei et al., 2018) 3 .",yes,Receptance Weighted Key Value (RWKV),yes,RNNs,"We propose a novel model architecture, Receptance Weighted Key Value (RWKV), that combines the efficient parallelizable training of transformers with the efficient inference of RNNs.",background,background
273,fastText,Bag of Tricks for Efficient Text Classification,http://arxiv.org/pdf/2301.08006,Background,,"In [12], authors employed FastText word representation in conjunction with strategies such as bag of n-gram characteristics and demonstrated that FastText outperformed deep learning approaches while being faster.",yes,Word2Vec remodel,yes,Word2Vec,This paper proposes two novel models for the keyword suggestion task trained on scientific literature. Our techniques adapt the architecture of Word2Vec and FastText to generate keyword embeddings by leveraging documents’ keyword co-occurrence.,background,background
274,,,,Background,,"In [12], authors employed FastText word representation in conjunction with strategies such as bag of n-gram characteristics and demonstrated that FastText outperformed deep learning approaches while being faster.",yes,FastText remodel,yes,FastText,This paper proposes two novel models for the keyword suggestion task trained on scientific literature. Our techniques adapt the architecture of Word2Vec and FastText to generate keyword embeddings by leveraging documents’ keyword co-occurrence.,background,background
275,AmoebaNet-A (F=190),Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/pdf/2303.08308,Uses,,"Specifically, we design a stage-wise hyperspace to include many candidate search spaces and leverage aging evolution [30] to perform random mutations of elastic stages for search space evolution.",yes,SpaceEvo,yes,Regularized Evolution for Image Classifier Architecture Search,"To address this challenge, we propose SpaceEvo, an automatic method for designing a dedicated, quantizationfriendly search space for each target hardware.",uses,uses
276,,,,Extends,,"By factorizing the search space into a sequence of elastic stages ((Sec. 4.3), we enable traditional aging evolution methods, such as the aging evolution [30], to be directly applied to search the space (Sec. 4.4).",yes,SpaceEvo,yes,Regularized Evolution for Image Classifier Architecture Search,"To address this challenge, we propose SpaceEvo, an automatic method for designing a dedicated, quantizationfriendly search space for each target hardware.",uses,uses
277,,,,Uses,,"Taking this advantage, we leverage aging evolution [30] to search the large hyperspace.",yes,SpaceEvo,yes,Neural Architecture Search (NAS),"To address this challenge, we propose SpaceEvo, an automatic method for designing a dedicated, quantizationfriendly search space for each target hardware.",uses,uses
278,DNABERT,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,https://www.biorxiv.org/content/biorxiv/early/2023/08/17/2023.08.15.553415.full.pdf,Background,,"Different approaches to tackle these issues have emerged, including: (1) Developing specific architectures for long sequences (Lin et al. 2021; Rao et al. 2021); (2) Splitting the data into smaller segments (Dotan et al. 2023); (3) K-mer representation of all possible nucleotides (Ji et al. 2021).",no,,yes,"BPE, Unigram, WordPiece, “words”, and “pairs”.","In this work, we study the effect of alternative tokenization algorithms on eight different tasks in biology, from predicting the function of proteins and their stability, through nucleotide sequence alignment, to classifying proteins to specific families.",background,background
279,data2vec (vision),"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",https://arxiv.org/pdf/2308.14553,Motivation,,"In the field of automatic speech recognition (ASR), the self-supervised pre-trained models Wav2vec2.0 [13], HuBERT [14], Data2vec [15] and WavLM [16] were proposed recently, and in [17] using the pretrained models to learn different levels of information at different layers was analyzed.",no,,yes,TTS models,"In this work, we therefore explore pre-trained models to improve the noise robustness of TTS models.",background,background
280,BatchNorm,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,https://www.mdpi.com/1422-0067/24/21/15681/pdf?version=1698416591,Uses,,The output from the last hidden state is subjected to batch normalization to reduce the covariate shift and provide additional regularization [25].,yes,LSTM4piRNA,yes,LSTM network,"To address these issues, we propose LSTM4piRNA, a highly efficient deep learning-based method for predicting piRNAs in large-scale genome databases.",uses,uses
281,Inception-ResNet-V2,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",https://arxiv.org/pdf/2308.07470,Uses,,"To understand the batching quality of DNN model serving systems, we ran a single copy of ResNet50 [11] (SLO 25 ms) and InceptionResNetV2 [37] (SLO 70 ms) separately on 8 GPUs using Clockwork, Nexus, Shepherd, and Symphony.",yes,Symphony,yes,InceptionResNetV2,"We propose Symphony, a DNN serving system that explores deferred batch scheduling to optimize system efficiency and throughput.",uses,uses
282,,,,Uses,,"We collected a mixed model zoo consisting of 37 widelyused DNN models, including variants of DenseNet [17], EfficientNet [39, 40], Inception [37, 38], MobileNet [13, 14, 32], NASNet [49], ResNet [11, 12], VGG [35], Xception [3], SSDMobileNet [23], and Bert [8].",yes,Symphony,yes,DenseNet,"We propose Symphony, a DNN serving system that explores deferred batch scheduling to optimize system efficiency and throughput.",uses,uses
283,,,,Uses,,"To understand how batch size affects goodput and to study how close is the batching behavior to the ideal staggered execution, we run a single copy of ResNet50 [11] and InceptionResNetV2 [37] separately with 8 GPUs on Symphony, Clockwork, and Nexus. Requests arrive in a Poisson distribution.",yes,Symphony,yes,ResNet50,"We propose Symphony, a DNN serving system that explores deferred batch scheduling to optimize system efficiency and throughput.",uses,uses
284,BERT-Large-CAS (PTB+WT2+WT103),Language Models with Transformers,https://journals.nauss.edu.sa/index.php/JISCR/article/download/1488/1011,Uses,,"The transformer model [85, 133] uses the attention to boost the training speed.",no,,yes,too many,"In this study, research directions and the theoretical foundation in this area are investigated.",background,background
285,Make-A-Video,Make-A-Video: Text-to-Video Generation without Text-Video Data,http://arxiv.org/pdf/2305.08850,Background,Differences,"Diffusion-based generative models have demonstrated remarkable success in generating photorealistic and diverse images [27, 28, 31] and videos [34, 38, 41] conditioned on text.",yes,Make-AProtagonist,yes,Stable UnCLIP,"In this regard, we propose a generic video editing framework called Make-AProtagonist, which utilizes textual and visual clues to edit videos with the goal of empowering individuals to become the protagonists.",background,background
286,,,,Motivation,,"In view of the impressive performance in T2I, text-to-video generation (T2V) [11, 12, 20, 34, 41] has attracted much attention.",yes,Make-AProtagonist,yes,Stable UnCLIP,"In this regard, we propose a generic video editing framework called Make-AProtagonist, which utilizes textual and visual clues to edit videos with the goal of empowering individuals to become the protagonists.",background,background
