model.name,model.title,citation.openAccessPdf,How does it use <model.name> ?,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes
GloVe (32B),GloVe: Global Vectors for Word Representation,https://arxiv.org/pdf/2309.00550,,,,,,,,
GOAT,Open-Ended Learning Leads to Generally Capable Agents,http://arxiv.org/pdf/2211.13051,,,,,,,,
MLP as Bayesian Approximator,The multilayer perceptron as an approximation to a Bayes optimal discriminant function,https://digitalcommons.fiu.edu/cgi/viewcontent.cgi?article=3452&context=etd,,,,,,,,
Motion-Driven 3D Feature Tracking,A Combined Corner and Edge Detector,https://bioresources.cnr.ncsu.edu/wp-content/uploads/2022/07/BioRes_17_3_5532_Wang_ZWLF_Review_Vision_Raw_Material_Wood_Product_20245.pdf,,,,,,,,
Chinese - English translation,Achieving Human Parity on Automatic Chinese to English News Translation,https://www.astesj.com/?sdm_process_download=1&download_id=26112,,,,,,,,
ISS,Learning Intrinsic Sparse Structures within Long Short-term Memory,https://arxiv.org/pdf/2207.03523,,,,,,,,
Convolutional Pose Machines,Convolutional Pose Machines,https://arxiv.org/pdf/2007.10986,,,,,,,,
YouTube Video Recommendation System,The YouTube video recommendation system,https://arxiv.org/pdf/2211.05290,,,,,,,,
WizardLM-7B,WizardLM: Empowering Large Language Models to Follow Complex Instructions,https://arxiv.org/pdf/2310.05492,,,,,,,,
BASIC-L,Combined Scaling for Zero-shot Transfer Learning,http://arxiv.org/pdf/2211.13224,,,,,,,,
DensePhrases,Learning Dense Representations of Phrases at Scale,https://www.mdpi.com/2227-7390/11/7/1624/pdf?version=1681089185,,,,,,,,
R-FCN,R-FCN: Object Detection via Region-based Fully Convolutional Networks,https://www.mdpi.com/1424-8220/22/5/1737/pdf?version=1645612277,,,,,,,,
DiT-XL/2,Scalable Diffusion Models with Transformers,http://arxiv.org/pdf/2305.12347,,,,,,,,
PointNet,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,https://arxiv.org/pdf/2310.06232,,,,,,,,
Inception v3,Rethinking the Inception Architecture for Computer Vision,https://arxiv.org/pdf/2310.04901,,,,,,,,
Word Representations,Word Representations: A Simple and General Method for Semi-Supervised Learning,https://www.aclweb.org/anthology/W17-2503.pdf,,,,,,,,
RNN+LDA+KN5+cache,Context dependent recurrent neural network language model,http://www.iis.sinica.edu.tw/papers/hsu/17226-F.pdf,,,,,,,,
EfficientDet,EfficientDet: Scalable and Efficient Object Detection,https://downloads.hindawi.com/journals/cin/2023/2506274.pdf,,,,,,,,
GRUs,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,https://arxiv.org/pdf/2309.11247,,,,,,,,
GSM,Gated Self-Matching Networks for Reading Comprehension and Question Answering,https://www.ijcai.org/proceedings/2018/0110.pdf,,,,,,,,
AlphaGo Master,Mastering the game of Go without human knowledge,https://www.mdpi.com/2227-7390/12/2/214/pdf?version=1704790794,,,,,,,,
MCDNN (MNIST),Multi-column deep neural networks for image classification,https://jfin-swufe.springeropen.com/track/pdf/10.1186/s40854-020-00187-0,,,,,,,,
ReLU (NORB),Rectified Linear Units Improve Restricted Boltzmann Machines,https://www.mdpi.com/1424-8220/23/11/5341/pdf?version=1685950570,,,,,,,,
Unsupervised High-level Feature Learner,Building high-level features using large scale unsupervised learning,https://arxiv.org/pdf/1906.06298,,,,,,,,
GPT,Improving Language Understanding by Generative Pre-Training,https://pubs.aip.org/aip/aml/article-pdf/doi/10.1063/5.0174863/18931211/010901_1_5.0174863.pdf,,,,,,,,
Swift,Champion-level drone racing using deep reinforcement learning,http://arxiv.org/pdf/2305.01461,,,,,,,,
Hanabi 4 player,The Hanabi Challenge: A New Frontier for AI Research,https://arxiv.org/pdf/2211.10100,,,,,,,,
Culturome,Quantitative Analysis of Culture Using Millions of Digitized Books,https://scholarworks.iu.edu/bitstreams/e63e31d0-7a8c-4ecc-9d3c-4bf218929f89/download,,,,,,,,
CTC-Trained LSTM,Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks,https://www.ijfmr.com/papers/2023/5/6305.pdf,,,,,,,,
BASIC-L,Combined Scaling for Zero-shot Transfer Learning,http://arxiv.org/pdf/2205.01397,,,,,,,,
XLM-RoBERTa,Unsupervised Cross-lingual Representation Learning at Scale,http://arxiv.org/pdf/2306.13888,,,,,,,,
MetaLM,Language Models are General-Purpose Interfaces,https://arxiv.org/pdf/2308.01907,,,,,,,,
LRSO-GAN,Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in Vitro,https://arxiv.org/pdf/2008.04015,,,,,,,,
MLP as Bayesian Approximator,The multilayer perceptron as an approximation to a Bayes optimal discriminant function,http://www.disi.unige.it/person/RovettaS/research/publications/ieee-tnn99-weightsia/ieee-tnn99-weightsia.pdf,,,,,,,,
Visualizing CNNs,Visualizing and Understanding Convolutional Networks,http://arxiv.org/pdf/2303.11932,,,,,,,,
GLaM,GLaM: Efficient Scaling of Language Models with Mixture-of-Experts,https://arxiv.org/pdf/2302.07863,,,,,,,,
ENAS,Efficient Neural Architecture Search via Parameter Sharing,https://arxiv.org/pdf/2201.09032,,,,,,,,
ADAM (CIFAR-10),Adam: A Method for Stochastic Optimization,https://www.biorxiv.org/content/biorxiv/early/2023/11/16/2023.11.13.566879.full.pdf,,,,,,,,
Max-Margin Markov Networks,Max-Margin Markov Networks,http://www.cs.cornell.edu/~cnyu/papers/siso_workshop.pdf,,,,,,,,
ASE+ACE,Neuronlike adaptive elements that can solve difficult learning control problems,https://annals-csis.org/proceedings/2020/drp/pdf/141.pdf,,,,,,,,
GPT,Improving Language Understanding by Generative Pre-Training,https://www.mdpi.com/1424-8220/23/20/8425/pdf?version=1697116707,,,,,,,,
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,https://dl.acm.org/doi/pdf/10.1145/3580305.3599897,,,,,,,,
MatrixFac for Recommenders,Matrix Factorization Techniques for Recommender Systems,https://www.mdpi.com/2079-9292/12/4/809/pdf?version=1675669951,,,,,,,,
OR-WideResNet,Oriented Response Networks,https://arxiv.org/pdf/2204.08613,,,,,,,,
MSA Transformer,MSA Transformer,https://www.nature.com/articles/s42256-023-00721-6.pdf,,,,,,,,
Contriever,Unsupervised Dense Information Retrieval with Contrastive Learning,https://arxiv.org/pdf/2309.17078,,,,,,,,
Pattern recognition and reading by machine,Pattern recognition and reading by machine,https://kar.kent.ac.uk/38137/1/EST%202013%20Real-time%20Doorway%20Detection%20and%20Alignment%20Determination%20for%20Improved%20Trajectory%20Generation%20in%20Assistive%20Mobile%20Robotic%20Wheelchairs..pdf,,,,,,,,
MetaLM,Language Models are General-Purpose Interfaces,http://arxiv.org/pdf/2305.14057,,,,,,,,
NLLB,No Language Left Behind: Scaling Human-Centered Machine Translation,https://direct.mit.edu/tacl/article-pdf/doi/10.1162/tacl_a_00631/2208870/tacl_a_00631.pdf,,,,,,,,
Chinchilla,Training Compute-Optimal Large Language Models,https://arxiv.org/pdf/2309.03241,,,,,,,,
ViT-G/14,Scaling Vision Transformers,https://arxiv.org/pdf/2310.05654,,,,,,,,
"Listen, Attend and Spell","Listen, attend and spell: A neural network for large vocabulary conversational speech recognition",https://arxiv.org/pdf/2104.02775,,,,,,,,
SemVec,Linguistic Regularities in Continuous Space Word Representations,https://arxiv.org/pdf/1910.12740,,,,,,,,
FixRes ResNeXt-101 WSL,Fixing the train-test resolution discrepancy,http://arxiv.org/pdf/2210.06640,,,,,,,,
Hanabi 4 player,The Hanabi Challenge: A New Frontier for AI Research,https://arxiv.org/pdf/2307.09905,,,,,,,,
NTM,Neural Turing Machines,http://arxiv.org/pdf/2303.06841,,,,,,,,
BIDAF,Bidirectional Attention Flow for Machine Comprehension,https://doi.org/10.26615/978-954-452-072-4_029,,,,,,,,
MT-DNN,Multi-Task Deep Neural Networks for Natural Language Understanding,http://arxiv.org/pdf/2304.08109,,,,,,,,
data2vec (vision),"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",https://arxiv.org/pdf/2310.05058,,,,,,,,
PyramidNet,Deep Pyramidal Residual Networks,https://arxiv.org/pdf/1811.04387,,,,,,,,
ALVINN,"ALVINN, an autonomous land vehicle in a neural network",https://www.mdpi.com/2624-8174/4/1/11/pdf?version=1644885409,,,,,,,,
DnCNN,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,http://arxiv.org/pdf/2304.08282,,,,,,,,
Theseus 6/768,BERT-of-Theseus: Compressing BERT by Progressive Module Replacing,https://aclanthology.org/2022.acl-long.11.pdf,,,,,,,,
Mnemonic Reader,Reinforced Mnemonic Reader for Machine Reading Comprehension,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09247161.pdf,,,,,,,,
BellKor 2007,The BellKor solution to the Netflix Prize,https://ojs.aaai.org/index.php/aimagazine/article/download/2361/2231,,,,,,,,
Optimized Single-layer Net,An Analysis of Single-Layer Networks in Unsupervised Feature Learning,http://arxiv.org/pdf/2306.07915,,,,,,,,
Adaptive Input Transformer + RD,R-Drop: Regularized Dropout for Neural Networks,http://arxiv.org/pdf/2203.07376,,,,,,,,
Cutout-regularized net,Improved Regularization of Convolutional Neural Networks with Cutout,https://arxiv.org/pdf/2307.13938,,,,,,,,
ResNeXt-101 Billion-scale,Billion-scale semi-supervised learning for image classification,https://arxiv.org/pdf/2008.01392,,,,,,,,
GPipe (Transformer),GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://dl.acm.org/doi/pdf/10.1145/3587135.3592200,,,,,,,,
DETR,End-to-End Object Detection with Transformers,https://figshare.com/articles/preprint/MCRformer_Morphological_Constraint_Reticular_Transformer_for_3D_Medical_Image_Segmentation/21280674/5/files/41234796.pdf,,,,,,,,
Wide & Deep,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets",https://www.biorxiv.org/content/biorxiv/early/2023/08/08/2023.08.08.552342.full.pdf,,,,,,,,
Word2Vec (large),Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/pdf/2309.11981,,,,,,,,
VGG19,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://bmcmedimaging.biomedcentral.com/counter/pdf/10.1186/s12880-023-01177-1,,,,,,,,
Incoder-6.7B,InCoder: A Generative Model for Code Infilling and Synthesis,http://arxiv.org/pdf/2306.01220,,,,,,,,
KN5 LM + RNN 400/10 (WSJ),Recurrent neural network based language model,https://www.mdpi.com/1424-8220/23/3/1145/pdf?version=1675218081,,,,,,,,
R-CNN (T-net),Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,https://link.springer.com/content/pdf/10.1007/s11554-023-01344-1.pdf,,,,,,,,
Llama 2-7B,Llama 2: Open Foundation and Fine-Tuned Chat Models,https://www.mdpi.com/2504-2289/7/4/182/pdf?version=1702541658,,,,,,,,
Advantage Learning,Increasing the Action Gap: New Operators for Reinforcement Learning,http://arxiv.org/pdf/2212.14164,,,,,,,,
Dropout (CIFAR),Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/pdf/2304.07501,,,,,,,,
DeepLab (2017),"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",https://www.mdpi.com/2078-2489/14/12/660/pdf?version=1702541369,,,,,,,,
ERNIE 3.0 Titan,ERNIE 3.0 Titan: Exploring Larger-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,http://arxiv.org/pdf/2208.04461,,,,,,,,
ASE+ACE,Neuronlike adaptive elements that can solve difficult learning control problems,https://mediatum.ub.tum.de/doc/1624259/document.pdf,,,,,,,,
Spectrally Normalized GAN,Spectral Normalization for Generative Adversarial Networks,http://arxiv.org/pdf/2306.10468,,,,,,,,
HyperNEAT,A Neuroevolution Approach to General Atari Game Playing,https://www.ijcai.org/proceedings/2018/0718.pdf,,,,,,,,
Semi-Supervised Embedding for DL,Deep learning via semi-supervised embedding,https://ieeexplore.ieee.org/ielx7/9607382/9607383/09607428.pdf,,,,,,,,
Word Representations,Word Representations: A Simple and General Method for Semi-Supervised Learning,https://www.aclweb.org/anthology/W17-5224.pdf,,,,,,,,
ADM,Diffusion Models Beat GANs on Image Synthesis,https://arxiv.org/pdf/2310.06228,,,,,,,,
SqueezeNet,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <1MB model size,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aisy.202300042,,,,,,,,
VD-RHN,Recurrent Highway Networks,https://www.ijcai.org/proceedings/2018/0130.pdf,,,,,,,,
ShuffleNet v1,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,https://ieeexplore.ieee.org/ielx7/6221020/10063192/10021579.pdf,,,,,,,,
Dropout (MNIST),Improving neural networks by preventing co-adaptation of feature detectors,http://arxiv.org/pdf/2203.10006,,,,,,,,
GRUs,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,https://www.mdpi.com/2076-3417/13/18/10003/pdf?version=1693967516,,,,,,,,
AlphaFold 2,Single-sequence protein structure prediction using a language model and deep learning,https://www.nature.com/articles/s41467-023-38063-x.pdf,,,,,,,,
SemExp,Object Goal Navigation using Goal-Oriented Semantic Exploration,http://arxiv.org/pdf/2207.10761,,,,,,,,
TSN,Temporal Segment Networks: Towards Good Practices for Deep Action Recognition,https://dl.acm.org/doi/pdf/10.1145/3595916.3626411,,,,,,,,
Megatron-BERT,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,http://arxiv.org/pdf/2303.10845,,,,,,,,
Recursive sentiment autoencoder,Semi-Supervised Recursive Autoencoders for Predicting Sentiment Distributions,http://manuscript.elsevier.com/S0306457317306581/pdf/S0306457317306581.pdf,,,,,,,,
GAN-Advancer,Improved Techniques for Training GANs,https://arxiv.org/pdf/2306.12511,,,,,,,,
TD(0),An Adaptive Optimal Controller for Discrete-Time Markov Environments,https://ane.pl/index.php/ane/article/download/1862/1859,,,,,,,,
LeNet-5,Gradient-based learning applied to document recognition,https://www.mdpi.com/2076-3417/14/3/1257/pdf?version=1706884408,,,,,,,,
SimpleNet,"Lets keep it simple, Using simple architectures to outperform deeper and more complex architectures",http://arxiv.org/pdf/2203.13453,,,,,,,,
AlphaFold-Multimer,Protein complex prediction with AlphaFold-Multimer,https://hal.science/hal-04130165/file/Perspective%20Structure_AI%20%283%29.pdf,,,,,,,,
DeBERTaV3-large + KEAR,Human Parity on CommonsenseQA: Augmenting Self-Attention with External Attention,https://aclanthology.org/2022.emnlp-main.79.pdf,,,,,,,,
Codex,Evaluating Large Language Models Trained on Code,http://arxiv.org/pdf/2306.00597,,,,,,,,
GPT-4,GPT-4 Technical Report,https://arxiv.org/pdf/2310.11597,,,,,,,,
GPT-4,GPT-4 Technical Report,https://arxiv.org/pdf/2310.07838,,,,,,,,
StarCoder,StarCoder: may the source be with you!,http://arxiv.org/pdf/2305.17145,,,,,,,,
NetTalk (dictionary),Parallel Networks that Learn to Pronounce English Text,https://drum.lib.umd.edu/bitstreams/80a432de-24c7-4dce-ad29-868b09634af0/download,,,,,,,,
NASNet-A,Learning Transferable Architectures for Scalable Image Recognition,https://arxiv.org/pdf/2209.01688,,,,,,,,
ConSERT,ConSERT: A Contrastive Framework for Self-Supervised Sentence Representation Transfer,https://aclanthology.org/2022.findings-acl.202.pdf,,,,,,,,
PaLM (540B),PaLM: Scaling Language Modeling with Pathways,https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1279317/pdf?isPublishedV2=False,,,,,,,,
3D city reconstruction,Building Rome in a day,https://www.mdpi.com/2072-4292/11/1/58/pdf?version=1546503292,,,,,,,,
AWD-LSTM,On the State of the Art of Evaluation in Neural Language Models,http://bphm.knu.ua/index.php/bphm/article/download/147/120,,,,,,,,
PaLI,PaLI: A Jointly-Scaled Multilingual Language-Image Model,http://arxiv.org/pdf/2303.03761,,,,,,,,
TransformerXL + spectrum control,Improving Neural Language Generation with Spectrum Control,https://aclanthology.org/2022.acl-long.3.pdf,,,,,,,,
fastText,Bag of Tricks for Efficient Text Classification,https://upjournals.up.ac.za/index.php/dhasa/article/download/4446/3858,,,,,,,,
Megatron-BERT,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,https://arxiv.org/pdf/2204.10562,,,,,,,,
RT-1,RT-1: Robotics Transformer for Real-World Control at Scale,https://arxiv.org/pdf/2310.05905,,,,,,,,
Spatiotemporal fusion ConvNet,Convolutional Two-Stream Network Fusion for Video Action Recognition,https://arxiv.org/pdf/2303.09941,,,,,,,,
CogVideo,CogVideo: Large-scale Pretraining for Text-to-Video Generation via Transformers,https://arxiv.org/pdf/2310.05922,,,,,,,,
DeLight,DeLighT: Deep and Light-weight Transformer,https://www.mdpi.com/2223-7747/12/8/1652/pdf?version=1681458291,,,,,,,,
Feedforward NN,Understanding the difficulty of training deep feedforward neural networks,https://www.nature.com/articles/s41598-023-42141-x.pdf,,,,,,,,
Dropout (ImageNet),Improving neural networks by preventing co-adaptation of feature detectors,http://arxiv.org/pdf/2207.02454,,,,,,,,
Restricted Bolzmann machines,Restricted Boltzmann machines for collaborative filtering,https://vfast.org/journals/index.php/VTSE/article/download/1178/1044,,,,,,,,
DQN,Playing Atari with Deep Reinforcement Learning,https://arxiv.org/pdf/2308.13246,,,,,,,,
"MSRA (C, PReLU)",Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,https://arxiv.org/pdf/2309.04437,,,,,,,,
Samuel Neural Checkers,Some Studies in Machine Learning Using the Game of Checkers,https://ieeexplore.ieee.org/ielx7/8964404/8966238/09241509.pdf,,,,,,,,
Pandemonium (morse),Pandemonium: a paradigm for learning,https://escholarship.org/content/qt2dr7d761/qt2dr7d761.pdf?t=q9htxe,,,,,,,,
Deep Multitask NLP Network,A unified architecture for natural language processing: deep neural networks with multitask learning,https://www.aclweb.org/anthology/2020.coling-main.225.pdf,,,,,,,,
BIDAF,Bidirectional Attention Flow for Machine Comprehension,https://aclanthology.org/2021.eacl-main.259.pdf,,,,,,,,
LaMDA,LaMDA: Language Models for Dialog Applications,https://arxiv.org/pdf/2308.05627,,,,,,,,
AlexaTM 20B,AlexaTM 20B: Few-Shot Learning Using a Large-Scale Multilingual Seq2Seq Model,http://arxiv.org/pdf/2306.02349,,,,,,,,
Pointer Sentinel-LSTM (medium),Pointer Sentinel Mixture Models,http://arxiv.org/pdf/2306.10728,,,,,,,,
ResNet-50 Billion-scale,Billion-scale semi-supervised learning for image classification,https://arxiv.org/pdf/2106.11346,,,,,,,,
ISS,Learning Intrinsic Sparse Structures within Long Short-term Memory,https://www.zora.uzh.ch/id/eprint/219685/1/Lindmar_Gao_Liu_STD_AICAS_2022.pdf,,,,,,,,
Zip CNN,Backpropagation Applied to Handwritten Zip Code Recognition,https://dl.acm.org/doi/pdf/10.1145/3597212,,,,,,,,
T5-11B,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://www.mdpi.com/2071-1050/16/2/781/pdf?version=1705417242,,,,,,,,
TensorReasoner,Reasoning With Neural Tensor Networks for Knowledge Base Completion,https://www.aclweb.org/anthology/2020.coling-main.489.pdf,,,,,,,,
VQGAN + CLIP,Taming Transformers for High-Resolution Image Synthesis,https://arxiv.org/pdf/2310.00076,,,,,,,,
SimCLR,A Simple Framework for Contrastive Learning of Visual Representations,https://www.medrxiv.org/content/medrxiv/early/2024/01/26/2024.01.26.24301803.full.pdf,,,,,,,,
LSTM-Char-Large,Character-Aware Neural Language Models,https://www.biorxiv.org/content/biorxiv/early/2019/05/29/622803.full.pdf,,,,,,,,
T5-3B,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5E5A7C1272C234F77ECB4A354E6FB253/S1351324923000487a.pdf/div-class-title-data-to-text-generation-using-conditional-generative-adversarial-with-enhanced-transformer-div.pdf,,,,,,,,
BERT-Large,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,https://ijece.iaescore.com/index.php/IJECE/article/download/31253/17141,,,,,,,,
data2vec (vision),"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",http://arxiv.org/pdf/2306.09361,,,,,,,,
ConSERT,ConSERT: A Contrastive Framework for Self-Supervised Sentence Representation Transfer,https://ieeexplore.ieee.org/ielx7/6287639/10005208/10131937.pdf,,,,,,,,
NMT Transformer 437M,Massively Multilingual Neural Machine Translation,https://www.aclweb.org/anthology/D19-5610.pdf,,,,,,,,
Imagen,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,https://arxiv.org/pdf/2310.03104,,,,,,,,
Deep LSTM for video classification,Beyond short snippets: Deep networks for video classification,https://ojs.aaai.org/index.php/AAAI/article/download/6941/6795,,,,,,,,
ADAM (CIFAR-10),Adam: A Method for Stochastic Optimization,https://academic.oup.com/mnras/advance-article-pdf/doi/10.1093/mnras/stae421/56645091/stae421.pdf,,,,,,,,
BellKor 2007,The BellKor solution to the Netflix Prize,http://nlpr-web.ia.ac.cn/2009papers/gjhy/gh26.pdf,,,,,,,,
RBM-tuning,A Practical Guide to Training Restricted Boltzmann Machines,https://arxiv.org/pdf/2310.01762,,,,,,,,
GCNN-14,Language Modeling with Gated Convolutional Networks,http://arxiv.org/pdf/2304.12849,,,,,,,,
Fully Convolutional Networks,Fully convolutional networks for semantic segmentation,https://isprs-annals.copernicus.org/articles/X-1-W1-2023/153/2023/isprs-annals-X-1-W1-2023-153-2023.pdf,,,,,,,,
Once for All,Once for All: Train One Network and Specialize it for Efficient Deployment,http://arxiv.org/pdf/2204.03475,,,,,,,,
λ-WASP,Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus,https://repository.upenn.edu/bitstreams/4e67c4f2-934f-4f70-941c-31894e71f0f8/download,,,,,,,,
ProxylessNAS,ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,https://arxiv.org/pdf/2108.07375,,,,,,,,
Trajectory-pooled conv nets,Action recognition with trajectory-pooled deep-convolutional descriptors,https://arxiv.org/pdf/2308.03908,,,,,,,,
Big-Little Net,Big-Little Net: An Efficient Multi-Scale Feature Representation for Visual and Speech Recognition,https://ojs.aaai.org/index.php/AAAI/article/download/5886/5742,,,,,,,,
Residual Dense Network,Residual Dense Network for Image Super-Resolution,https://arxiv.org/pdf/2212.04457,,,,,,,,
Transformer-XL + RMS dynamic eval,Dynamic Evaluation of Transformer Language Models,https://arxiv.org/pdf/2011.09301,,,,,,,,
DITTO,Learning to Break the Loop: Analyzing and Mitigating Repetitions for Neural Text Generation,https://arxiv.org/pdf/2310.00840,,,,,,,,
FAST,Machine Learning for High-Speed Corner Detection,https://authors.library.caltech.edu/records/yyq25-x9y16/files/2105.06464.pdf?download=1,,,,,,,,
Neocognitron,Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position,https://medcraveonline.com/MSEIJ/MSEIJ-06-00178.pdf,,,,,,,,
LSTM (2018),An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling,http://arxiv.org/pdf/2306.06579,,,,,,,,
Spectrally Normalized GAN,Spectral Normalization for Generative Adversarial Networks,http://arxiv.org/pdf/2302.04763,,,,,,,,
BLSTM for handwriting (1),A novel approach to on-line handwriting recognition based on bidirectional long short-term memory networks,https://ieeexplore.ieee.org/ielx7/6221020/9497060/09305279.pdf,,,,,,,,
DQN-2015,Human-level control through deep reinforcement learning,https://www.frontiersin.org/articles/10.3389/fpubh.2023.1310016/pdf?isPublishedV2=False,,,,,,,,
Transformer (Adaptive Input Embeddings),Adaptive Input Representations for Neural Language Modeling,https://ojs.aaai.org/index.php/AAAI/article/download/16091/15898,,,,,,,,
LRCN,Long-term recurrent convolutional networks for visual recognition and description,https://www.nature.com/articles/s41599-022-01393-0.pdf,,,,,,,,
Flamingo,Flamingo: a Visual Language Model for Few-Shot Learning,http://arxiv.org/pdf/2306.16410,,,,,,,,
DeepFace,DeepFace: Closing the Gap to Human-Level Performance in Face Verification,https://www.nature.com/articles/s41599-021-00970-z.pdf,,,,,,,,
Stacked hourglass network,Stacked Hourglass Networks for Human Pose Estimation,http://arxiv.org/pdf/2208.10769,,,,,,,,
Large regularized LSTM,Recurrent Neural Network Regularization,https://akjournals.com/downloadpdf/journals/2062/69/4/article-p581.pdf,,,,,,,,
Restricted Bolzmann machines,Restricted Boltzmann machines for collaborative filtering,https://arxiv.org/pdf/1811.04343,,,,,,,,
Swift,Champion-level drone racing using deep reinforcement learning,https://arxiv.org/pdf/2310.00675,,,,,,,,
Diffractive Deep Neural Network,All-optical machine learning using diffractive deep neural networks,https://www.spiedigitallibrary.org/journals/advanced-photonics/volume-4/issue-2/026004/Optical-neural-network-quantum-state-tomography/10.1117/1.AP.4.2.026004.pdf,,,,,,,,
Zip CNN,Backpropagation Applied to Handwritten Zip Code Recognition,http://www.journal-cot.com/article/S0976566223002205/pdf,,,,,,,,
ERNIE-Doc (247M),ERNIE-Doc: A Retrospective Long-Document Modeling Transformer,https://arxiv.org/pdf/2210.10349,,,,,,,,
PSPNet,Pyramid Scene Parsing Network,https://arxiv.org/pdf/2308.06701,,,,,,,,
Deep Belief Nets,A Fast Learning Algorithm for Deep Belief Nets,https://link.springer.com/content/pdf/10.1007/s00371-023-02967-y.pdf,,,,,,,,
TFE SVM,A trainable feature extractor for handwritten digit recognition,http://pdf.aminer.org/000/346/439/recognition_of_unconstrained_on_line_devanagari_characters.pdf,,,,,,,,
LRCN,Long-term recurrent convolutional networks for visual recognition and description,https://link.springer.com/content/pdf/10.1007/s00236-021-00400-2.pdf,,,,,,,,
Spatially-Sparse CNN,Spatially-sparse convolutional neural networks,https://arxiv.org/pdf/2209.05324,,,,,,,,
ImageBind,ImageBind One Embedding Space to Bind Them All,http://arxiv.org/pdf/2306.13302,,,,,,,,
DeepLabV3,Rethinking Atrous Convolution for Semantic Image Segmentation,https://arxiv.org/pdf/2306.15442,,,,,,,,
Differentiable neural computer,Hybrid computing using a neural network with dynamic external memory,https://www.mdpi.com/2072-6694/14/15/3707/pdf?version=1659346029,,,,,,,,
Constituency-Tree LSTM,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,https://riuma.uma.es/xmlui/bitstream/10630/27636/5/JISBD2023%20.pdf,,,,,,,,
Transformer ELMo,Dissecting Contextual Word Embeddings: Architecture and Representation,https://arxiv.org/pdf/2007.12948,,,,,,,,
Fisher Kernel GMM,Fisher Kernels on Visual Vocabularies for Image Categorization,https://arxiv.org/pdf/1601.03295,,,,,,,,
DCN+,DCN+: Mixed Objective and Deep Residual Coattention for Question Answering,https://www.aclweb.org/anthology/2020.findings-emnlp.73.pdf,,,,,,,,
DeepLab (2017),"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",https://www.mdpi.com/2079-9292/12/24/4940/pdf?version=1702031138,,,,,,,,
Decoupled weight decay regularization,Decoupled Weight Decay Regularization,https://arxiv.org/pdf/2401.04119,,,,,,,,
Deep Boltzmann Machines,Deep Boltzmann Machines,https://arxiv.org/pdf/2103.16775,,,,,,,,
Large regularized LSTM,Recurrent Neural Network Regularization,https://dl.acm.org/doi/pdf/10.1145/3456529.3456560,,,,,,,,
MusicLM,MusicLM: Generating Music From Text,https://ieeexplore.ieee.org/ielx7/6221020/6363502/10261199.pdf,,,,,,,,
FAST,Machine Learning for High-Speed Corner Detection,https://isprs-archives.copernicus.org/articles/XLVIII-1-W2-2023/679/2023/isprs-archives-XLVIII-1-W2-2023-679-2023.pdf,,,,,,,,
Statement Curriculum Learning,Formal Mathematics Statement Curriculum Learning,http://arxiv.org/pdf/2209.02562,,,,,,,,
